1,How many computer languages are in use?,A,A) 2000,B) 5000,C) 50,D) 20,8,27
2,Which of these is not an early computer?,C,A) ENIAC,B) UNIVAC,C) NASA,D) SAGE,7,19
3,Who founded Apple Computer?,C,A) Stephen Fry,B) Bill Gates,C) Steve Jobs,D) Stephen Hawking,3,30
4,Which of these is not a peripheral in computer terms?,D,A) Keyboard,B) Monitor,C) Mouse,D) Motherboard,3,8
5,Which of the following is not one of the early protocols or ways to use the Internet?,A,A) Blogging,B) Telnet,C) Gopher,D) FTP,1,5
6,What does the Internet prefix WWW stand for?,B,A) Wide Width Wickets,B) World Wide Web,C) Worldwide Weather,D) Western Washington World,5,20
7,Which of these is not a kind of computer?,D,A) Apple,B) Lenovo,C) Toshiba,D) Lada,4,26
8,What is the name for a computer pointing device?,A,A) A Mouse,B) Sound Card,C) Ram,D) Monitor,2,27
9,Which of these products is not made by the Apple Corporation?,A,A) IMAX,B) iPhone,C) iMac,D) iPod,8,26
10,Who invented flexible photographic film?,D,A) Leonardo da Vinci,B) Linda Eastman,C) Louis Daguerre,D) George Eastman,8,27
11,When did the compact disc first appear on the market?,A,A) 1982,B) 1992,C) 1955,D) 1989,5,22
12,When was the DVD introduced?,D,A) 1970,B) 1990,C) 2000,D) 1995,6,32
13,Who is the maker of the iPhone?,C,A) Microsoft,B) IBM,C) Apple,D) Zenith,8,33
14,To which of these devices is the cellular telephone most closely related?,B,A) Telegraph,B) Radio,C) Light bulb,D) Telescope,4,26
15,Which of these is a file format for digital images?,B,A) CIA,B) JPG,C) ICBM,D) IBM,7,25
16,What does fiber optic cable resemble in terms of size?,D,A) Pipeline,B) Bamboo,C) Telephone wire,D) Human hair,11,25
17,Which of these is not a telephone?,A,A) Ipod,B) Razr,C) Blackberry,D) Iphone,8,26
18,What was given the nickname Stalin Organ?,A,A) Katyusha rocket launcher,B) Red Army radio,C) Myasishchev M-4,D) first Soviet hydrogen bomb,11,27
19,What fighter plane of World War II came out of a design for a racing seaplane?,C,A) F6F Hellcat,B) SBD Dauntless,C) Spitfire,D) Zero,8,25
20,In 1937 Andrey Nikolayevich Tupolev was arrested by the Soviet secret police but was allowed to earn his freedom by designing what instruments of war?,A,A) Bombers,B) Tanks,C) Fighters,D) Machine guns,11,25
